SITE;Original ID;CID;RAG.TREATMENT;RAG.ORDER;INGFIRST;RAG.LOCAL1;RAG.DISTANT1;RAG.SELF2;RAG.DISTANT2;RAG.ORDER2;INGFIRST2;RAG.DISTANT3;RAG.OUTGROUP3;RAG.SELF4;RAG.OUTGROUP4;GA1;GA2;GA3;HONEST13;HONEST;DG.TREATMENT;DG.ORDER;ORDCODE;DIDRAG;DG.LOCAL1;DG.DISTANT1;DG.SELF2;DG.DISTANT2;DG.DISTANT3;DG.OUTGROUP3;DG.SELF4;DG.OUTGROUP4;GA1;GA2;GA3;DG.HONEST;SEX;AGE13;AGE;FAMILY;CHILDREN;FORMALED;HOUSEHOLD;MAT1;MAT2;MAT3;MAT4;BGPUNISH;BGSTLIMP;BGLIEIMP;BGMURDIMP;BGFEEL;BGSEE;BGREWARD;BGDIE;LGPUNISH;LGSTEALIMP;LGLIEIMP;LGMURDIMP;LGFEEL;LGSEE;LGREWARD;LGDIE;POLEVAL;CORELEMO;INGREMO;OUTGREMO;CORELSIM;OUTSIM
Hadza;A123;1906;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4 1 2 3 ;4;0;7;3;9;1;NA;NA;10;0;NA;NA;NA;NA;0;NA;56;NA;1;0;4;0;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A13;1907;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4 3 1 2 ;4;0;7;3;7;3;NA;NA;9;1;NA;NA;NA;NA;1;NA;25;NA;1;0;3;0;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A130;1908;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2 4 3 1 ;2;0;10;0;10;0;NA;NA;10;0;NA;NA;NA;NA;0;NA;18;NA;2;7;7;NA;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A133;1909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2 1 4 3 ;2;0;8;2;8;2;NA;NA;8;2;NA;NA;NA;NA;0;NA;24;NA;1;0;4;0;NA;NA;NA;0;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A136;1910;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4 1 2 3 ;4;0;10;0;10;0;NA;NA;10;0;NA;NA;NA;NA;0;NA;27;NA;1;7;3;0;NA;NA;NA;0;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A137;1911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4 2 1 3 ;4;0;10;0;10;0;NA;NA;10;0;NA;NA;NA;NA;0;NA;26;NA;1;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A14;1912;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1 3 2 4;1;0;8;2;9;1;NA;NA;10;0;NA;NA;NA;NA;1;NA;54;NA;5;0;7;1;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A15;1913;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4 2 3 1;4;0;8;2;10;0;NA;NA;10;0;NA;NA;NA;NA;1;NA;57;NA;1;7;4;1;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A18;1914;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2 1 4 3 ;2;0;10;0;10;0;NA;NA;10;0;NA;NA;NA;NA;1;NA;20;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A20;1915;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4 2 1 3 ;4;0;10;0;10;0;NA;NA;10;0;NA;NA;NA;NA;1;NA;37;NA;1;0;2;1;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A21;1916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1 4 2 3 ;1;0;8;2;8;2;NA;NA;10;0;NA;NA;NA;NA;1;NA;39;NA;2;2;NA;1;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A25;1917;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2 3 4 1 ;2;0;10;0;10;0;NA;NA;10;0;NA;NA;NA;NA;1;NA;21;NA;NA;9;4;0;NA;NA;NA;0;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A29;1918;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3 4 1 2;3;0;10;0;10;0;NA;NA;10;0;NA;NA;NA;NA;1;NA;24;NA;NA;0;1;0;NA;NA;NA;0;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hadza;A6;1919;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3 2 1 4 ;3;0;6;4;7;3;NA;NA;6;4;NA;NA;NA;NA;1;NA;38;NA;3;0;3;0;NA;NA;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Huatasani;1001;741;0;12;1;14;16;16;14;34;1;13;17;16;14;A sports game;Could be that when you are an evangelical or a catholic with which one do you idenitfy more. More to yourself or more for others.;NA; ; ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;19;19;1;0;11;3;0;0;0;1;1;3;2;2;1;1;2;1;1;2;2;3;1;1;3;1;-1;2;3;2;2;-2
Huatasani;1002;742;0;21;0;14;16;16;14;34;1;14;16;17;13;No;About some help;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;18;18;1;0;11;3;1;1;1;1;1;3;2;3;1;1;1;1;1;3;2;3;1;1;1;0;0;3;5;2;-1;0
Huatasani;1003;743;0;12;1;20;10;20;10;43;0;10;20;16;14;No;I don't know;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;26;26;4;2;6;4;1;1;1;1;1;0;2;0;1;1;2;0;0;0;0;0;1;1;1;0;1;2;3;2;-1;0
Huatasani;1007;744;0;12;1;16;14;20;10;43;0;15;15;20;10;Of Huatasani and Taraco, the cities;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;47;47;6;2;0;5;1;1;1;1;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Huatasani;1008;745;0;21;0;18;12;19;11;43;0;18;12;11;19;No;No;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;35;35;1;0;11;4;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;2;0;0;3;4;2;1;-1
Huatasani;1010;746;0;21;0;16;14;16;14;34;1;14;16;20;10;Which one will win? The Catholic or the Evangelical?;Which one will have the luck;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;31;31;6;2;10;4;1;0;1;1;1;4;4;3;1;1;3;1;1;3;2;3;1;1;1;1;0;2;5;1;2;-1
Huatasani;1012;747;0;21;0;14;16;15;15;43;0;17;13;16;14;How we play die;Who wins, who loses.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;58;58;2;4;1;5;1;1;0;1;1;0;0;0;1;1;NA;0;1;0;0;0;0;0;1;0;0;5;5;5;-1;NA
Huatasani;1013;748;0;12;1;13;17;16;14;34;1;19;11;17;13;The difference would only be between rich and poor;The reality that we live with those of the past. There is a different reality now than previously in this country.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;49;49;1;3;11;4;1;1;1;1;1;3;4;4;1;1;1;1;1;2;1;3;0;0;0;0;0;4;5;4;-1;-2
Huatasani;1014;749;0;21;0;17;13;14;16;34;1;17;13;16;14;Of childhood;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;28;28;2;3;11;4;1;1;1;1;1;2;3;4;1;1;2;0;1;0;0;0;1;0;1;0;-1;1;3;1;1;-1
Huatasani;1015;750;0;12;1;15;15;13;17;43;0;21;9;17;13;it never has happened, it's pretty.;A dice game. To help a catholic person from Taraco or Huatasani.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;71;71;2;5;3;2;1;1;1;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;-1;4;4;3;2;-2
Huatasani;1016;751;0;21;0;13;17;14;16;43;0;16;14;20;10;solidarity;A survey about solidarity;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;25;25;6;2;11;7;1;1;1;1;1;2;0;2;1;1;1;0;1;0;0;1;1;1;1;0;-1;2;5;3;-1;-1
Huatasani;1017;752;0;12;1;15;15;20;10;34;1;16;14;17;13;No;To help a poor person;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;22;22;6;1;11;3;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;-2;4;5;2;1;1
Huatasani;1018;753;0;21;0;16;14;15;15;34;1;15;15;16;14;No;I don't know;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;68;68;5;9;0;1;1;1;1;1;1;3;3;3;1;1;3;1;1;1;1;1;1;0;3;NA;0;1;1;1;-2;-2
Huatasani;1021;754;0;12;1;17;13;17;13;34;1;16;14;16;14;Nothing;Helping some people;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;23;23;6;1;11;NA;0;1;1;1;0;0;0;0;1;1;3;1;0;0;0;0;0;1;0;0;0;1;3;1;-1;-1
Huatasani;1022;755;0;21;0;17;13;14;16;34;1;12;18;15;15;That's how kids play;I couldn't tell you;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;33;33;6;NA;NA;NA;1;1;1;1;1;0;0;4;1;1;3;1;1;NA;0;0;0;NA;3;0;0;5;5;5;NA;0
Huatasani;1024;756;0;21;0;15;15;22;8;43;0;16;14;21;9;There's a difference between catholics and evangelicals. It seems to be that it could be equally (divided). Like a form of support.;So that we wake up. So that we orient ourselves, for another work (like public works project).;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;40;40;6;2;9;3;1;1;1;1;1;3;2;3;1;1;3;1;1;3;1;4;1;1;1;0;-2;3;3;1;-1;-2
Huatasani;1025;757;0;12;1;15;15;14;16;34;1;14;16;14;16;In the municipality, if there is a division of money. They do not share the work as it should be done.;Sharing of Our Father. He has always said to share between each other.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;40;40;1;0;14;7;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;1;1;1;1;-2;5;5;4;2;-1
Huatasani;1026;758;0;21;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;I don't know;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;76;76;2;5;2;2;0;1;1;1;1;1;1;0;NA;1;3;1;1;0;0;0;NA;1;1;0;-1;1;1;1;-1;-1
Huatasani;1028;759;0;21;0;24;6;25;5;43;0;8;22;12;18;When we were in high school and played dice.;How to give an example;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;23;23;6;2;11;4;0;1;0;1;0;2;1;1;1;1;1;1;1;1;1;2;1;0;1;0;-1;3;5;1;NA;-1
Huatasani;1030;760;0;21;0;15;15;13;17;34;1;20;10;20;10;When I was little we played with dice. I used to win.;Something to win.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;6;2;3;5;1;1;1;0;1;2;4;3;1;1;1;1;0;0;0;0;0;0;0;0;1;3;1;3;-1;-1
Huatasani;1031;761;0;12;1;15;15;22;8;43;0;17;13;17;13;Thinking of others equally. Not only thinking of my own progress, or in the progress of Huatasani.;I couldn't say;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;32;32;6;1;11;4;0;0;0;1;1;4;4;4;1;1;3;1;1;3;4;4;1;0;1;0;-1;4;5;1;-2;-1
Huatasani;1032;762;0;21;0;15;15;18;12;43;0;14;16;18;12;No;A help for a church, a donation.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;20;20;6;1;11;3;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1;3;5;3;1;1
Huatasani;1033;763;0;12;1;17;13;21;9;34;1;16;14;17;13;That there are people that need and don't have money, but lots of needs here in Peru.;Who wins, will reach different places.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;60;60;2;4;6;2;0;0;0;0;1;2;4;4;1;1;3;1;1;1;3;1;1;0;1;0;-2;5;5;2;2;-2
Huatasani;1034;764;0;21;0;9;21;15;15;34;1;14;16;17;13;No;A person that could be poor, a needy person.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;43;43;6;5;8;8;1;1;0;1;1;2;2;3;1;1;1;1;0;0;0;0;1;1;1;0;-1;1;3;1;NA;NA
Huatasani;1036;765;0;21;0;16;14;13;17;43;0;17;13;16;14;Collecting money, help comes when there is an accident, or some activity (collection) in the neighborhood of dances.;To help;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;34;34;4;2;8;3;1;1;1;1;1;4;4;4;1;1;3;1;1;0;3;0;1;0;0;0;0;1;4;1;NA;-1
Huatasani;1037;766;0;12;1;16;14;18;12;34;1;12;18;13;17;When I played with dice, it was pretty.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;62;62;2;7;2;3;1;1;0;0;1;4;3;3;1;1;3;1;1;0;4;1;0;0;2;0;0;3;3;2;-2;-1
Huatasani;1038;767;0;21;0;16;14;11;19;34;1;14;16;15;15;No;With coins, playing with money.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;38;38;6;3;10;5;1;1;1;1;1;3;3;2;1;1;2;1;1;3;3;4;0;0;3;0;-1;5;5;3;1;2
Huatasani;1039;768;0;12;1;13;17;16;14;43;0;14;16;17;13;No;I don't understand it.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;25;25;6;3;10;5;1;0;0;0;1;0;0;0;1;1;3;1;1;0;0;0;1;1;1;0;-1;1;1;1;NA;-1
Huatasani;1040;769;0;21;0;16;14;18;12;43;0;14;16;14;16;When there is support (aid), but each person pulls (resources) to their side.;Like a Christian human, it would be sharing equally, like Our Father wants, even if we don't do it.;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;48;48;1;1;11;10;1;1;1;1;0;0;4;3;1;1;3;1;1;4;4;4;1;1;3;0;-1;5;5;2;-1;-1
Huatasani;1041;770;0;12;1;3;27;30;0;34;1;28;2;26;4;No;There is nothing.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;67;67;2;7;6;4;1;1;1;1;1;4;4;4;1;1;3;1;1;3;3;3;1;0;3;1;-2;2;5;2;2;-2
Huatasani;1042;771;0;21;0;17;13;15;15;34;1;15;15;14;16;I used to play with dice.;The ability to think in opposites.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;24;24;6;1;11;3;0;NA;0;1;0;0;0;0;1;1;3;1;1;0;0;0;0;0;2;0;-1;2;3;2;-1;-1
Huatasani;1044;772;0;21;0;16;14;18;12;43;0;21;9;19;11;No;Different communities.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;67;67;1;2;0;1;1;1;1;1;1;3;4;4;1;1;3;1;1;2;3;0;0;1;1;0;-2;1;5;1;1;-1
Huatasani;1045;773;0;12;1;13;17;11;19;34;1;19;11;NA;NA;You are giving me a die to see if I can share, but it depends on luck. ;Could be about how to share with a person or given them.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;28;28;6;4;11;1;1;1;1;1;1;3;4;4;1;1;3;1;1;4;4;4;0;1;3;1;-2;NA;NA;NA;NA;NA
Huatasani;1047;774;0;12;1;18;12;18;12;43;0;15;15;13;17;Nothing;Dice game;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;6;6;5;4;1;1;0;1;0;0;0;0;1;1;3;1;1;0;0;0;0;0;1;0;-1;5;5;5;1;-1
Huatasani;1059;775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1243;1;0;10;0;8;2;5;5;7;3;No;I don't know;NA;0;0;18;18;1;0;11;5;1;1;1;1;1;3;3;4;1;1;1;0;1;3;3;3;1;1;3;1;1;1;5;1;-1;0
Huatasani;1060;776;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2143;2;0;5;5;5;5;5;5;5;5;NA;Equality of people;NA;1;1;23;23;1;0;11;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;1;3;1;NA;NA
Huatasani;1064;777;0;21;0;14;16;15;15;43;0;17;13;14;16;Primary school games with dice;Archaeology, Andean culture.;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50;6;3;11;3;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;4;5;2;-1;-1
Huatasani;1065;778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1234;1;0;5;5;5;5;6;4;6;4;I've never done it, but if I saw the results I could.;Pretty, but I would like to know other zones.;NA;0;1;41;41;2;2;11;4;0;0;1;1;1;4;3;3;1;1;2;1;0;0;0;0;0;0;0;0;1;4;4;1;-1;-1
Huatasani;1067;779;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1243;1;0;8;2;10;0;5;5;10;0;I haven't played since childhood. Then I used to play jumping rope.;Share with Catholics, with Vilque Chico.;NA;0;0;39;39;2;2;6;4;1;1;1;1;1;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;-1;4;2;3;1;NA
Huatasani;1068;780;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2143;2;0;6;4;5;5;5;5;5;5;No;A research project that you are doing. To check which religion people are believing more.;NA;0;1;18;18;1;0;11;12;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;3;0;0;2;5;2;1;1
Huatasani;1081;781;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1234;1;0;5;5;6;4;4;6;5;5;When one has to share with the poor.;To reflect about poor and rich people;NA;0;1;63;63;2;4;6;2;0;1;0;1;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;-1;5;5;5;-2;-2
Huatasani;1083;782;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1243;1;0;9;1;9;1;4;6;9;1;We have to support people who do not have enough economically. Because they have that need, equally in Vilque Chico as we do in this town. Perhaps that support is good equally Catholic like Evangelical.;Needy people that you are supporting, both catholic and evangelical.;NA;0;1;29;29;6;3;14;5;1;1;0;0;1;3;3;3;1;1;0;1;0;0;0;0;0;0;0;0;-1;3;4;2;1;-1
Huatasani;1084;783;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2143;2;0;8;2;8;2;5;5;8;2;Share with other people.;No;NA;0;0;22;22;1;1;11;4;1;1;1;1;1;3;3;4;1;1;3;1;0;0;0;0;0;0;0;0;-1;2;2;2;1;NA
Huatasani;1085;784;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1234;1;0;6;4;8;2;6;4;10;0;No;I don't know;NA;0;0;28;28;6;2;11;4;1;1;1;1;1;4;3;3;1;1;1;1;1;3;3;3;1;1;1;0;1;2;3;1;2;-1
Huatasani;1086;785;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2134;2;0;5;5;2;8;5;5;2;8;Maybe in high school, we came to sing in the parish. To share and help.;Help the needy;NA;0;0;25;25;6;2;11;10;0;1;1;1;1;4;1;4;1;1;0;1;1;0;0;0;0;0;0;0;1;5;5;3;2;-2
Huatasani;1087;786;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1243;1;0;5;5;0;10;5;5;0;10;For the more needy. My idea would be to share it for those that need more.;I don't know where the money is coming from, but with regards to the game my idea would be to give it to the needier.;NA;0;1;38;38;6;4;11;6;0;0;0;1;1;3;3;3;1;1;1;1;1;0;0;0;1;1;2;1;0;5;5;5;1;1
Huatasani;1088;787;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2143;2;0;9;1;8;2;10;0;10;0;No;No;NA;0;0;33;33;6;2;6;4;1;1;1;1;1;3;3;3;1;1;2;0;1;3;4;3;1;1;0;0;-1;2;4;1;-1;-2
Huatasani;1089;788;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1234;1;0;5;5;5;5;5;5;5;5;Some situations. Differences in society and the levels that each person has. Some don't have anything and give everything. Some make little effort. Sometimes I doubt if the beggar is faking or abusing of his state. ;To measure your ambition or check what kind of person you are.;NA;0;1;21;21;1;0;11;2;0;0;1;1;0;0;2;2;1;0;1;1;1;0;2;1;1;1;2;1;-1;2;3;2;2;-1
Huatasani;1090;789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2134;2;0;5;5;2;8;5;5;0;10;There's none;Goodness;NA;0;1;47;47;2;2;14;3;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;-1;-1
Huatasani;1091;790;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1243;1;0;5;5;5;5;5;5;5;5;Treat everyone equally;About sharing;NA;0;0;50;50;2;2;5;2;1;1;1;1;0;0;0;0;1;1;1;1;0;0;2;2;0;0;1;0;1;2;4;1;NA;NA
Huatasani;1093;791;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1234;1;0;4;6;6;4;5;5;6;4;Nothing;How to share between living people;NA;0;1;36;36;6;2;11;4;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;-2;3;4;3;NA;NA
Huatasani;1094;792;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2134;2;0;4;6;5;5;5;5;5;5;No;Analysis of how people live here. If they share equally or there is some interest.;NA;1;0;26;26;6;2;11;3;0;1;0;1;1;4;4;4;1;1;1;1;1;0;1;0;0;0;3;1;-1;3;2;2;-2;-2
Huatasani;1095;793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1243;1;0;6;4;6;4;6;4;6;4;A form of support. I always want to support more the one from my town. Regarding a different town, I do not know their reality, but I do know that there are needs and that I can support them according to a calculation.;About the ideas we think, and the towns we live in different families and towns. Also about beliefs being different in different zones and cities too.;NA;0;0;39;39;4;1;16;5;1;1;1;1;0;3;3;3;1;1;1;1;0;1;1;1;1;0;0;0;1;3;5;2;2;-2
Huatasani;1107;794;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1243;1;0;8;2;6;4;4;6;6;4;There's nothing;The economy for those that I know. There could be a prize.;NA;0;1;63;63;2;8;5;2;1;1;1;1;1;0;0;3;1;1;1;1;0;0;0;0;0;0;0;0;1;4;3;4;-2;-2
Huatasani;1109;795;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1234;1;0;6;4;6;4;5;5;6;4;When there is going to be an election it appears a support to the father (priest) of a church. They devote themselves to that.;Something evangelical.;NA;0;1;18;18;1;0;6;5;1;0;0;1;1;2;1;2;1;1;1;0;1;1;1;2;1;1;1;0;-1;3;4;3;-2;-1
Huatasani;1110;796;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2134;2;0;5;5;5;5;5;5;5;5;Winning and losing;Seems like magic;NA;0;1;80;80;2;5;7;5;0;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;1;0;1;3;0;1;2;2;1;-1;-2
